Array.ORF;rep1;rep2;FY5;log.mean.mol;log.median.mol;Pramila.Hits;Spellman.Hits;Orlando.Hits;Granovskaia.Hits;Kelliher.Hits
YPL269W;-0.10839;-0.07977;7.3470929284;7.00832224988701;6.59030104819669;0;1;0;1;1
YPL270W;-0.25384;-0.18517;9.1596107776;7.88032718760691;7.88381866120082;0;0;0;0;1
YPL274W;-0.0225;-0.03481;9.695706481;8.6049674507082;8.35703208387961;0;1;0;0;0
YPL279C;-0.00033;0.01072;6.8625914206;6.97896132789459;6.97896132789459;0;0;0;0;1
YPL283C;-0.00827;0.05499;11.8938076071;7.56143391072216;7.56107426851991;1;1;0;0;0
YPR002W;-0.01982;-0.00661;7.7294790845;8.37038818168501;7.4265332621068;1;0;0;0;0
YPR004C;0.00308;-0.0486;11.1138394346;9.20965158194662;9.25344538406742;1;0;1;1;1
YPR006C;-0.00164;0.08342;8.4242573513;6.88769342594047;6.91324020921271;0;0;1;0;0
YPR008W;-0.83599;-0.91711;8.0241021237;7.62062356028884;7.52004008423438;1;0;0;0;1
YPR009W;0.06398;0.08011;8.1103644767;;;0;0;0;0;1
YPR013C;-0.09012;0.02871;7.2434456202;7.60305393150374;7.60305393150374;0;1;0;0;1
YPR015C;-0.18867;-0.38068;6.0572561709;;;0;0;0;0;1
YPR017C;-0.20258;-0.25714;7.8657070822;7.99927843118953;7.57169147579749;0;0;1;0;1
YPR018W;-0.39393;-0.46539;8.1738965318;7.93114233068384;8.09864284375942;1;1;1;1;1
YPR022C;-0.18316;-0.0958;8.177331499;7.02944131868425;6.50870388029958;0;0;0;0;1
YPR031W;0.02369;-0.03739;6.9766577821;6.47572788017477;6.32757653846692;0;0;0;0;1
YPR032W;-0.1261;-0.0574;8.6559847876;8.0039641915573;7.68892362688724;1;0;1;0;1
YPR037C;0.006;0.05222;8.8926227547;7.8734826473283;7.93275884931003;0;0;1;0;0
YPR040W;-0.69715;-0.84812;7.1824074026;7.95736747837305;7.87252710387942;0;0;0;0;1
YPR042C;-0.05411;0.00958;6.9220093773;7.70544203490941;7.666593706302;0;0;0;0;1
YPR045C;0.02423;0.02363;8.0874770821;8.01755976888154;8.0280298382268;0;1;0;0;0
YPR052C;-0.89082;;12.6630464579;9.70842429028687;9.5998167227452;1;0;1;0;0
YPR054W;-0.03722;-0.00704;6.5027965305;7.33864270123292;7.33864270123292;0;0;0;0;1
YPR063C;0.04065;-0.01503;9.9930049097;8.65698079161849;8.26157162982856;0;0;0;0;1
YPR068C;-0.07773;-0.01517;7.0351271052;6.54031919446731;6.75809450442773;0;0;0;0;1
YPR069C;0.02298;0.03983;12.9523430133;10.6167034782216;10.0246934714514;0;0;0;0;1
YPR070W;0.11008;0.03987;7.9968273677;8.29493684821013;7.99091546309133;1;0;0;0;1
YPR072W;0.07379;0.12519;8.9268341424;8.70675432808645;8.60525626894335;0;0;0;0;1
YPR075C;-0.09391;-0.16129;9.4285589725;7.62339898881262;7.53514228315147;1;1;1;1;1
YPR078C;0.11756;0.07656;6.2471684609;7.03889289941701;7.03889289941701;0;0;1;0;0
YPR079W;0.03696;0.01145;8.9569700521;7.55709044481458;7.65657730679924;0;0;0;0;1
YPR089W;-0.28312;-0.221;9.6451319728;7.81740665698032;7.83157598381057;0;0;0;0;1
YPR091C;-0.03153;-0.06582;9.8687396702;8.4672868032226;8.35733670045718;0;0;0;0;1
YPR095C;-0.12217;-0.15422;7.9727525128;6.12102679235286;5.63121178182137;0;0;1;0;0
YPR097W;-0.07303;-0.03704;6.6966663943;8.188725925893;8.12622252945853;0;0;1;0;0
YPR106W;0.03913;0.02987;9.3007271647;6.74348525888494;6.74348525888494;1;1;1;1;1
YPR111W;-0.08126;-0.13636;8.350642794;7.64549750438413;7.63618616199911;0;1;0;1;1
YPR116W;0.03229;0.03227;6.4441879227;6.94221394100169;6.86174277420649;0;0;1;0;0
YPR117W;-0.00106;0.00696;8.1376623185;6.40341692725983;6.08014723328618;0;0;0;0;1
YPR119W;-0.16913;-0.07333;9.2712524736;6.34405667168341;5.82600010738045;1;1;1;1;1
YPR120C;-0.29416;-0.23979;8.3964388547;6.25575004175337;6.25575004175337;0;1;1;1;1
YPR124W;0.04016;0.08731;7.9435271272;8.6108746589706;8.34813566695884;0;0;1;0;0
YPR127W;-0.00939;-0.01473;10.1597820954;8.73373784253283;8.56967363613837;0;0;0;0;1
YPR128C;-0.29495;-0.3664;9.3788022776;8.04601728442156;7.71868549519847;0;1;0;0;0
YPR129W;-0.62346;-0.70149;9.1309094608;8.61982458372709;8.5942846939403;0;0;0;0;1
YPR135W;-0.3319;-0.36153;7.7150644316;8.21537901009916;8.35736000282943;1;1;1;1;1
YPR139C;-0.04465;-0.00224;7.4372428129;8.30484260195541;8.00230348857449;0;0;0;0;1
YPR140W;-0.11798;-0.24436;7.2477017374;7.63521307831675;7.29369772060144;0;0;1;0;1
YPR141C;-0.09574;-0.06649;8.4183510532;7.42914826812141;7.37885414111158;1;1;1;1;0
YPR148C;-0.28716;-0.25406;10.2095867813;9.16948291555468;9.3043964990375;0;0;0;0;1
YPR149W;0.00963;-0.00927;12.120500061;10.4991241553292;10.2159775637019;1;1;1;1;1
YPR152C;-0.03304;0.01917;8.1480845619;7.25910054119926;7.12328121955217;0;0;1;0;1
YPR155C;-0.00788;0.06283;8.2680543221;7.88788922338355;7.65489371691559;1;1;0;0;0
YPR156C;0.00541;0.03336;11.8517414539;8.43071645909139;8.23425360672809;0;1;1;1;1
YPR157W;0.01262;-0.05078;7.8899929644;;;1;1;1;1;1
YPR158W;0.08094;0.02611;6.2516500197;;;0;0;0;0;1
YPR159W;0.06227;0.07117;11.5474646026;8.54884808722759;8.1937583158104;1;1;1;0;0
YPR160W;0.02262;-0.07878;10.1388485446;9.22768295646119;9.060781943837;0;1;0;0;0
YPR167C;0.44492;0.53522;11.9622528733;8.32371983753316;7.66615453779177;1;1;0;0;0
YPR174C;0.00128;-0.03937;7.3300921138;7.89764623315622;7.85618072089205;1;1;1;1;1
YPR179C;-0.06796;-0.03101;7.9897290657;7.59353976931574;7.52137927326154;0;0;1;0;0
YPR184W;-0.42117;-0.44548;9.4872599769;8.40194270850038;8.16961106439035;0;0;0;1;0
YPR191W;0.14671;0.10429;10.0035171549;10.8271631408497;9.87595628503385;0;0;0;0;1
YPR194C;-0.06025;-0.08192;7.8295209192;7.43104061902868;7.43104061902868;0;0;0;0;1
YPR203W;0.04892;0.04555;6.7217856418;;;1;1;0;0;0
YPR204W;0.01348;0.11092;11.8187507093;5.91592795048275;5.91592795048275;0;1;0;0;0
